,id,movieid,filmtype
263,264,1865703,动画
264,265,1865703,悬疑
265,266,1865703,惊悚
266,267,1298070,动作
267,268,1298070,奇幻
268,269,1298070,冒险
269,270,1296996,奇幻
270,271,1296996,冒险
271,272,1292434,剧情
272,273,1292434,爱情
273,274,1292434,家庭
274,275,6985810,剧情
275,276,1306249,喜剧
276,277,1306249,爱情
277,278,1306249,古装
278,279,10777687,剧情
279,280,10777687,喜剧
280,281,10777687,家庭
281,282,1787291,剧情
282,283,1787291,歌舞
283,284,3395373,剧情
284,285,3395373,动作
285,286,3395373,科幻
286,287,3395373,惊悚
287,288,3395373,犯罪
288,289,26799731,剧情
289,290,26799731,爱情
290,291,26799731,同性
291,292,1296339,剧情
292,293,1296339,爱情
293,294,1292370,剧情
294,295,1292370,爱情
295,296,1292370,奇幻
296,297,1418834,剧情
297,298,1418834,爱情
298,299,1418834,同性
299,300,1418834,家庭
300,301,2149806,剧情
301,302,1297630,剧情
302,303,1297630,悬疑
303,304,1297630,惊悚
304,305,1291999,剧情
305,306,1291999,爱情
306,307,1294639,剧情
307,308,1294639,动作
308,309,1294639,传记
309,310,1294639,历史
310,311,1294639,战争
311,312,11026735,喜剧
312,313,11026735,动作
313,314,11026735,科幻
314,315,11026735,动画
315,316,11026735,冒险
316,317,1305164,剧情
317,318,1305164,爱情
318,319,1297359,动画
319,320,1297359,奇幻
320,321,1297359,冒险
321,322,1291990,剧情
322,323,1291990,爱情
323,324,1293359,剧情
324,325,1293359,喜剧
325,326,4202302,动画
326,327,4202302,奇幻
327,328,4202302,冒险
328,329,27010768,剧情
329,330,21318488,剧情
330,331,21318488,悬疑
331,332,21318488,惊悚
332,333,21318488,犯罪
333,334,1291875,剧情
334,335,1291875,爱情
335,336,1292215,剧情
336,337,1292215,喜剧
337,338,1292215,爱情
338,339,1300992,剧情
339,340,1300992,犯罪
340,341,25814705,剧情
341,342,1297447,爱情
342,343,1297447,奇幻
343,344,1297447,武侠
344,345,1297447,古装
345,346,1292337,剧情
346,347,10577869,喜剧
